session_key,player_key,game_key,timestamp,date,hour,day_of_week,week,month,is_weekend,platform,region,player_type,duration_mins
23,268,6.0,2025-12-26 00:33:18.196005,2025-12-26,0,Friday,52,12,False,PC,North America,hardcore,274.0
24,145,6.0,2025-12-26 00:45:18.196005,2025-12-26,0,Friday,52,12,False,PC,North America,hardcore,277.0
25,145,6.0,2025-12-26 01:58:18.196005,2025-12-26,1,Friday,52,12,False,PC,North America,hardcore,247.0
26,286,8.0,2025-12-26 02:22:18.196005,2025-12-26,2,Friday,52,12,False,Xbox Series X,Europe,regular,104.0
27,49,10.0,2025-12-26 15:12:18.196005,2025-12-26,15,Friday,52,12,False,PlayStation 5,Europe,casual,24.0
28,145,6.0,2025-12-26 15:29:18.196005,2025-12-26,15,Friday,52,12,False,PC,North America,hardcore,202.0
29,109,4.0,2025-12-26 15:40:18.196005,2025-12-26,15,Friday,52,12,False,PC,North America,regular,68.0
30,100,9.0,2025-12-26 16:09:18.196005,2025-12-26,16,Friday,52,12,False,PlayStation 5,Asia,regular,84.0
31,328,4.0,2025-12-26 16:12:18.196005,2025-12-26,16,Friday,52,12,False,PC,North America,casual,31.0
32,29,,2025-12-26 16:29:18.196005,2025-12-26,16,Friday,52,12,False,PlayStation 5,North America,casual,39.0
33,268,6.0,2025-12-26 16:39:18.196005,2025-12-26,16,Friday,52,12,False,PC,North America,hardcore,139.0
34,268,6.0,2025-12-26 17:44:18.196005,2025-12-26,17,Friday,52,12,False,PC,North America,hardcore,137.0
35,69,,2025-12-26 18:31:18.196005,2025-12-26,18,Friday,52,12,False,Xbox Series X,Europe,regular,119.0
36,300,9.0,2025-12-26 18:51:18.196005,2025-12-26,18,Friday,52,12,False,PC,North America,regular,113.0
37,346,9.0,2025-12-26 19:16:18.196005,2025-12-26,19,Friday,52,12,False,Xbox Series X,Asia,casual,20.0
38,152,,2025-12-26 20:00:18.196005,2025-12-26,20,Friday,52,12,False,PC,Europe,hardcore,269.0
39,426,10.0,2025-12-26 20:42:18.196005,2025-12-26,20,Friday,52,12,False,PlayStation 5,South America,casual,54.0
40,160,6.0,2025-12-26 20:59:18.196005,2025-12-26,20,Friday,52,12,False,Xbox Series X,Europe,regular,69.0
41,77,,2025-12-26 21:03:18.196005,2025-12-26,21,Friday,52,12,False,PC,Europe,casual,22.0
42,50,10.0,2025-12-26 21:34:18.196005,2025-12-26,21,Friday,52,12,False,PlayStation 5,Asia,regular,62.0
43,152,,2025-12-26 21:41:18.196005,2025-12-26,21,Friday,52,12,False,PC,Europe,hardcore,231.0
44,142,8.0,2025-12-26 21:59:18.196005,2025-12-26,21,Friday,52,12,False,Xbox Series X,Asia,regular,50.0
45,393,9.0,2025-12-26 22:08:18.196005,2025-12-26,22,Friday,52,12,False,PC,Europe,regular,75.0
46,413,10.0,2025-12-26 22:11:18.196005,2025-12-26,22,Friday,52,12,False,PlayStation 5,North America,casual,38.0
47,393,9.0,2025-12-26 22:47:18.196005,2025-12-26,22,Friday,52,12,False,PC,Europe,regular,113.0
48,186,4.0,2025-12-26 23:37:18.196005,2025-12-26,23,Friday,52,12,False,Xbox Series X,Asia,regular,82.0
49,186,4.0,2025-12-27 00:04:18.196005,2025-12-27,0,Saturday,52,12,True,Xbox Series X,Asia,regular,102.0
50,145,6.0,2025-12-27 00:09:18.196005,2025-12-27,0,Saturday,52,12,True,PC,North America,hardcore,284.0
51,170,1.0,2025-12-27 01:10:18.196005,2025-12-27,1,Saturday,52,12,True,PC,Europe,hardcore,122.0
52,393,9.0,2025-12-27 01:35:18.196005,2025-12-27,1,Saturday,52,12,True,PC,Europe,regular,81.0
53,102,,2025-12-27 01:42:18.196005,2025-12-27,1,Saturday,52,12,True,Xbox Series X,Asia,regular,115.0
54,164,,2025-12-27 01:55:18.196005,2025-12-27,1,Saturday,52,12,True,Xbox Series X,North America,hardcore,142.0
55,328,4.0,2025-12-27 02:36:18.196005,2025-12-27,2,Saturday,52,12,True,PC,North America,casual,53.0
56,278,8.0,2025-12-27 03:04:18.196005,2025-12-27,3,Saturday,52,12,True,PlayStation 5,Europe,regular,94.0
57,160,6.0,2025-12-27 11:36:18.196005,2025-12-27,11,Saturday,52,12,True,Xbox Series X,Europe,regular,102.0
58,14,8.0,2025-12-27 12:06:18.196005,2025-12-27,12,Saturday,52,12,True,PlayStation 5,Europe,casual,55.0
59,371,4.0,2025-12-27 13:16:18.196005,2025-12-27,13,Saturday,52,12,True,PlayStation 5,North America,regular,77.0
60,208,10.0,2025-12-27 13:54:18.196005,2025-12-27,13,Saturday,52,12,True,PlayStation 5,North America,casual,35.0
61,19,7.0,2025-12-27 14:11:18.196005,2025-12-27,14,Saturday,52,12,True,PlayStation 5,Europe,regular,92.0
62,152,,2025-12-27 14:32:18.196005,2025-12-27,14,Saturday,52,12,True,PC,Europe,hardcore,297.0
63,210,10.0,2025-12-27 14:49:18.196005,2025-12-27,14,Saturday,52,12,True,PlayStation 5,North America,regular,72.0
64,430,8.0,2025-12-27 14:57:18.196005,2025-12-27,14,Saturday,52,12,True,PlayStation 5,Asia,regular,82.0
65,64,6.0,2025-12-27 15:13:18.196005,2025-12-27,15,Saturday,52,12,True,PlayStation 5,North America,casual,30.0
66,199,9.0,2025-12-27 15:49:18.196005,2025-12-27,15,Saturday,52,12,True,PlayStation 5,Asia,regular,88.0
67,301,1.0,2025-12-27 15:51:18.196005,2025-12-27,15,Saturday,52,12,True,PlayStation 5,North America,regular,99.0
68,152,,2025-12-27 16:47:18.196005,2025-12-27,16,Saturday,52,12,True,PC,Europe,hardcore,210.0
69,171,8.0,2025-12-27 16:48:18.196005,2025-12-27,16,Saturday,52,12,True,PlayStation 5,South America,casual,33.0
70,421,4.0,2025-12-27 17:05:18.196005,2025-12-27,17,Saturday,52,12,True,Xbox Series X,North America,casual,35.0
71,372,,2025-12-27 17:22:18.196005,2025-12-27,17,Saturday,52,12,True,Xbox Series X,North America,regular,50.0
72,164,,2025-12-27 18:52:18.196005,2025-12-27,18,Saturday,52,12,True,Xbox Series X,North America,hardcore,127.0
73,170,1.0,2025-12-27 19:04:18.196005,2025-12-27,19,Saturday,52,12,True,PC,Europe,hardcore,92.0
74,170,1.0,2025-12-27 19:12:18.196005,2025-12-27,19,Saturday,52,12,True,PC,Europe,hardcore,97.0
75,377,10.0,2025-12-27 19:25:18.196005,2025-12-27,19,Saturday,52,12,True,PlayStation 5,North America,regular,105.0
76,268,6.0,2025-12-27 20:38:18.196005,2025-12-27,20,Saturday,52,12,True,PC,North America,hardcore,261.0
77,50,10.0,2025-12-27 20:49:18.196005,2025-12-27,20,Saturday,52,12,True,PlayStation 5,Asia,regular,109.0
78,164,,2025-12-27 20:52:18.196005,2025-12-27,20,Saturday,52,12,True,Xbox Series X,North America,hardcore,211.0
79,152,,2025-12-27 21:34:18.196005,2025-12-27,21,Saturday,52,12,True,PC,Europe,hardcore,202.0
80,19,7.0,2025-12-27 21:53:18.196005,2025-12-27,21,Saturday,52,12,True,PlayStation 5,Europe,regular,104.0
81,49,10.0,2025-12-27 21:54:18.196005,2025-12-27,21,Saturday,52,12,True,PlayStation 5,Europe,casual,28.0
82,17,,2025-12-27 21:55:18.196005,2025-12-27,21,Saturday,52,12,True,PC,North America,regular,102.0
83,268,6.0,2025-12-27 22:59:18.196005,2025-12-27,22,Saturday,52,12,True,PC,North America,hardcore,234.0
84,268,6.0,2025-12-28 00:29:18.196005,2025-12-28,0,Sunday,52,12,True,PC,North America,hardcore,208.0
85,109,4.0,2025-12-28 00:41:18.196005,2025-12-28,0,Sunday,52,12,True,PC,North America,regular,104.0
86,210,10.0,2025-12-28 01:12:18.196005,2025-12-28,1,Sunday,52,12,True,PlayStation 5,North America,regular,70.0
87,210,10.0,2025-12-28 01:39:18.196005,2025-12-28,1,Sunday,52,12,True,PlayStation 5,North America,regular,95.0
88,381,,2025-12-28 01:42:18.196005,2025-12-28,1,Sunday,52,12,True,PC,Oceania,casual,25.0
89,422,3.0,2025-12-28 01:44:18.196005,2025-12-28,1,Sunday,52,12,True,PlayStation 5,Europe,casual,24.0
90,13,10.0,2025-12-28 12:27:18.196005,2025-12-28,12,Sunday,52,12,True,PlayStation 5,Oceania,regular,79.0
91,379,6.0,2025-12-28 12:31:18.196005,2025-12-28,12,Sunday,52,12,True,PC,North America,regular,89.0
92,90,4.0,2025-12-28 12:36:18.196005,2025-12-28,12,Sunday,52,12,True,PC,Europe,casual,58.0
93,160,6.0,2025-12-28 12:40:18.196005,2025-12-28,12,Sunday,52,12,True,Xbox Series X,Europe,regular,100.0
94,100,9.0,2025-12-28 12:42:18.196005,2025-12-28,12,Sunday,52,12,True,PlayStation 5,Asia,regular,117.0
95,152,,2025-12-28 12:58:18.196005,2025-12-28,12,Sunday,52,12,True,PC,Europe,hardcore,98.0
96,345,9.0,2025-12-28 13:06:18.196005,2025-12-28,13,Sunday,52,12,True,PC,Europe,regular,47.0
97,58,8.0,2025-12-28 13:07:18.196005,2025-12-28,13,Sunday,52,12,True,Xbox Series X,Europe,regular,60.0
98,199,9.0,2025-12-28 13:21:18.196005,2025-12-28,13,Sunday,52,12,True,PlayStation 5,Asia,regular,61.0
99,13,10.0,2025-12-28 13:25:18.196005,2025-12-28,13,Sunday,52,12,True,PlayStation 5,Oceania,regular,107.0
100,152,,2025-12-28 13:56:18.196005,2025-12-28,13,Sunday,52,12,True,PC,Europe,hardcore,129.0
101,152,,2025-12-28 14:18:18.196005,2025-12-28,14,Sunday,52,12,True,PC,Europe,hardcore,242.0
102,300,9.0,2025-12-28 14:18:18.196005,2025-12-28,14,Sunday,52,12,True,PC,North America,regular,53.0
103,160,6.0,2025-12-28 14:54:18.196005,2025-12-28,14,Sunday,52,12,True,Xbox Series X,Europe,regular,67.0
104,379,6.0,2025-12-28 15:14:18.196005,2025-12-28,15,Sunday,52,12,True,PC,North America,regular,62.0
105,77,,2025-12-28 15:45:18.196005,2025-12-28,15,Sunday,52,12,True,PC,Europe,casual,41.0
106,275,,2025-12-28 15:56:18.196005,2025-12-28,15,Sunday,52,12,True,PC,Oceania,casual,29.0
107,164,,2025-12-28 16:27:18.196005,2025-12-28,16,Sunday,52,12,True,Xbox Series X,North America,hardcore,217.0
108,393,9.0,2025-12-28 16:27:18.196005,2025-12-28,16,Sunday,52,12,True,PC,Europe,regular,70.0
109,77,,2025-12-28 16:36:18.196005,2025-12-28,16,Sunday,52,12,True,PC,Europe,casual,51.0
110,268,6.0,2025-12-28 16:42:18.196005,2025-12-28,16,Sunday,52,12,True,PC,North America,hardcore,241.0
111,210,10.0,2025-12-28 16:50:18.196005,2025-12-28,16,Sunday,52,12,True,PlayStation 5,North America,regular,110.0
112,278,8.0,2025-12-28 16:56:18.196005,2025-12-28,16,Sunday,52,12,True,PlayStation 5,Europe,regular,49.0
113,178,,2025-12-28 17:24:18.196005,2025-12-28,17,Sunday,52,12,True,Xbox Series X,Asia,casual,54.0
114,301,1.0,2025-12-28 18:03:18.196005,2025-12-28,18,Sunday,52,12,True,PlayStation 5,North America,regular,61.0
115,227,6.0,2025-12-28 18:37:18.196005,2025-12-28,18,Sunday,52,12,True,Xbox Series X,Europe,regular,66.0
116,145,6.0,2025-12-28 18:53:18.196005,2025-12-28,18,Sunday,52,12,True,PC,North America,hardcore,247.0
117,152,,2025-12-28 19:02:18.196005,2025-12-28,19,Sunday,52,12,True,PC,Europe,hardcore,182.0
118,152,,2025-12-28 19:03:18.196005,2025-12-28,19,Sunday,52,12,True,PC,Europe,hardcore,224.0
119,70,6.0,2025-12-28 19:12:18.196005,2025-12-28,19,Sunday,52,12,True,Xbox Series X,North America,regular,52.0
120,371,4.0,2025-12-28 19:14:18.196005,2025-12-28,19,Sunday,52,12,True,PlayStation 5,North America,regular,71.0
121,171,8.0,2025-12-28 19:16:18.196005,2025-12-28,19,Sunday,52,12,True,PlayStation 5,South America,casual,58.0
122,145,6.0,2025-12-28 19:22:18.196005,2025-12-28,19,Sunday,52,12,True,PC,North America,hardcore,226.0
123,436,6.0,2025-12-28 19:22:18.196005,2025-12-28,19,Sunday,52,12,True,PC,South America,regular,78.0
124,324,10.0,2025-12-28 20:05:18.196005,2025-12-28,20,Sunday,52,12,True,PC,Europe,regular,90.0
125,145,6.0,2025-12-28 20:37:18.196005,2025-12-28,20,Sunday,52,12,True,PC,North America,hardcore,206.0
126,199,9.0,2025-12-28 20:41:18.196005,2025-12-28,20,Sunday,52,12,True,PlayStation 5,Asia,regular,107.0
127,164,,2025-12-28 20:41:18.196005,2025-12-28,20,Sunday,52,12,True,Xbox Series X,North America,hardcore,248.0
128,199,9.0,2025-12-28 20:46:18.196005,2025-12-28,20,Sunday,52,12,True,PlayStation 5,Asia,regular,111.0
129,300,9.0,2025-12-28 21:14:18.196005,2025-12-28,21,Sunday,52,12,True,PC,North America,regular,53.0
130,186,4.0,2025-12-28 21:22:18.196005,2025-12-28,21,Sunday,52,12,True,Xbox Series X,Asia,regular,59.0
131,334,,2025-12-28 21:27:18.196005,2025-12-28,21,Sunday,52,12,True,PlayStation 5,Asia,hardcore,140.0
132,186,4.0,2025-12-28 21:35:18.196005,2025-12-28,21,Sunday,52,12,True,Xbox Series X,Asia,regular,68.0
133,301,1.0,2025-12-28 21:38:18.196005,2025-12-28,21,Sunday,52,12,True,PlayStation 5,North America,regular,110.0
134,69,,2025-12-28 22:03:18.196005,2025-12-28,22,Sunday,52,12,True,Xbox Series X,Europe,regular,63.0
135,145,6.0,2025-12-28 22:27:18.196005,2025-12-28,22,Sunday,52,12,True,PC,North America,hardcore,113.0
136,109,4.0,2025-12-28 23:25:18.196005,2025-12-28,23,Sunday,52,12,True,PC,North America,regular,53.0
137,278,8.0,2025-12-28 23:38:18.196005,2025-12-28,23,Sunday,52,12,True,PlayStation 5,Europe,regular,54.0
138,278,8.0,2025-12-28 23:44:18.196005,2025-12-28,23,Sunday,52,12,True,PlayStation 5,Europe,regular,119.0
139,145,6.0,2025-12-29 00:12:18.196005,2025-12-29,0,Monday,1,12,False,PC,North America,hardcore,102.0
140,437,,2025-12-29 01:19:18.196005,2025-12-29,1,Monday,1,12,False,PC,South America,casual,54.0
141,227,6.0,2025-12-29 01:47:18.196005,2025-12-29,1,Monday,1,12,False,Xbox Series X,Europe,regular,49.0
142,210,10.0,2025-12-29 01:57:18.196005,2025-12-29,1,Monday,1,12,False,PlayStation 5,North America,regular,107.0
143,145,6.0,2025-12-29 02:26:18.196005,2025-12-29,2,Monday,1,12,False,PC,North America,hardcore,277.0
144,355,1.0,2025-12-29 02:28:18.196005,2025-12-29,2,Monday,1,12,False,Xbox Series X,North America,hardcore,248.0
145,160,6.0,2025-12-29 02:54:18.196005,2025-12-29,2,Monday,1,12,False,Xbox Series X,Europe,regular,82.0
146,334,,2025-12-29 02:54:18.196005,2025-12-29,2,Monday,1,12,False,PlayStation 5,Asia,hardcore,173.0
147,355,1.0,2025-12-29 03:13:18.196005,2025-12-29,3,Monday,1,12,False,Xbox Series X,North America,hardcore,101.0
148,186,4.0,2025-12-29 03:21:18.196005,2025-12-29,3,Monday,1,12,False,Xbox Series X,Asia,regular,113.0
149,345,9.0,2025-12-29 03:33:18.196005,2025-12-29,3,Monday,1,12,False,PC,Europe,regular,50.0
150,152,,2025-12-29 12:15:18.196005,2025-12-29,12,Monday,1,12,False,PC,Europe,hardcore,270.0
151,328,4.0,2025-12-29 12:19:18.196005,2025-12-29,12,Monday,1,12,False,PC,North America,casual,56.0
152,76,4.0,2025-12-29 12:26:18.196005,2025-12-29,12,Monday,1,12,False,Xbox Series X,Europe,regular,68.0
153,136,,2025-12-29 12:35:18.196005,2025-12-29,12,Monday,1,12,False,Xbox Series X,Europe,casual,59.0
154,300,9.0,2025-12-29 12:38:18.196005,2025-12-29,12,Monday,1,12,False,PC,North America,regular,106.0
155,268,6.0,2025-12-29 12:42:18.196005,2025-12-29,12,Monday,1,12,False,PC,North America,hardcore,198.0
156,327,10.0,2025-12-29 13:19:18.196005,2025-12-29,13,Monday,1,12,False,Xbox Series X,Asia,regular,55.0
157,330,8.0,2025-12-29 13:21:18.196005,2025-12-29,13,Monday,1,12,False,Xbox Series X,North America,hardcore,286.0
158,301,1.0,2025-12-29 13:32:18.196005,2025-12-29,13,Monday,1,12,False,PlayStation 5,North America,regular,46.0
159,109,4.0,2025-12-29 13:38:18.196005,2025-12-29,13,Monday,1,12,False,PC,North America,regular,63.0
160,327,10.0,2025-12-29 13:52:18.196005,2025-12-29,13,Monday,1,12,False,Xbox Series X,Asia,regular,114.0
161,372,,2025-12-29 14:27:18.196005,2025-12-29,14,Monday,1,12,False,Xbox Series X,North America,regular,45.0
162,372,,2025-12-29 14:34:18.196005,2025-12-29,14,Monday,1,12,False,Xbox Series X,North America,regular,97.0
163,239,3.0,2025-12-29 14:41:18.196005,2025-12-29,14,Monday,1,12,False,Xbox Series X,Europe,regular,100.0
164,239,3.0,2025-12-29 14:55:18.196005,2025-12-29,14,Monday,1,12,False,Xbox Series X,Europe,regular,50.0
165,268,6.0,2025-12-29 14:56:18.196005,2025-12-29,14,Monday,1,12,False,PC,North America,hardcore,95.0
166,102,,2025-12-29 15:23:18.196005,2025-12-29,15,Monday,1,12,False,Xbox Series X,Asia,regular,45.0
167,301,1.0,2025-12-29 15:40:18.196005,2025-12-29,15,Monday,1,12,False,PlayStation 5,North America,regular,89.0
168,430,8.0,2025-12-29 16:02:18.196005,2025-12-29,16,Monday,1,12,False,PlayStation 5,Asia,regular,102.0
169,24,10.0,2025-12-29 16:05:18.196005,2025-12-29,16,Monday,1,12,False,PlayStation 5,South America,casual,41.0
170,142,8.0,2025-12-29 16:11:18.196005,2025-12-29,16,Monday,1,12,False,Xbox Series X,Asia,regular,69.0
171,300,9.0,2025-12-29 16:39:18.196005,2025-12-29,16,Monday,1,12,False,PC,North America,regular,77.0
172,320,3.0,2025-12-29 16:44:18.196005,2025-12-29,16,Monday,1,12,False,Xbox Series X,Asia,casual,58.0
173,324,10.0,2025-12-29 17:28:18.196005,2025-12-29,17,Monday,1,12,False,PC,Europe,regular,95.0
174,422,3.0,2025-12-29 17:54:18.196005,2025-12-29,17,Monday,1,12,False,PlayStation 5,Europe,casual,28.0
175,77,,2025-12-29 18:15:18.196005,2025-12-29,18,Monday,1,12,False,PC,Europe,casual,58.0
176,208,10.0,2025-12-29 18:18:18.196005,2025-12-29,18,Monday,1,12,False,PlayStation 5,North America,casual,30.0
177,355,1.0,2025-12-29 18:51:18.196005,2025-12-29,18,Monday,1,12,False,Xbox Series X,North America,hardcore,147.0
178,103,8.0,2025-12-29 18:52:18.196005,2025-12-29,18,Monday,1,12,False,PlayStation 5,Asia,casual,30.0
179,10,10.0,2025-12-29 19:01:18.196005,2025-12-29,19,Monday,1,12,False,PC,Europe,casual,35.0
180,210,10.0,2025-12-29 19:55:18.196005,2025-12-29,19,Monday,1,12,False,PlayStation 5,North America,regular,74.0
181,136,,2025-12-29 20:22:18.196005,2025-12-29,20,Monday,1,12,False,Xbox Series X,Europe,casual,33.0
182,102,,2025-12-29 20:59:18.196005,2025-12-29,20,Monday,1,12,False,Xbox Series X,Asia,regular,111.0
183,150,7.0,2025-12-29 21:24:18.196005,2025-12-29,21,Monday,1,12,False,PC,North America,casual,27.0
184,286,8.0,2025-12-29 21:54:18.196005,2025-12-29,21,Monday,1,12,False,Xbox Series X,Europe,regular,98.0
185,19,7.0,2025-12-29 22:10:18.196005,2025-12-29,22,Monday,1,12,False,PlayStation 5,Europe,regular,68.0
186,117,3.0,2025-12-29 22:41:18.196005,2025-12-29,22,Monday,1,12,False,PlayStation 5,Asia,casual,35.0
187,171,8.0,2025-12-29 22:43:18.196005,2025-12-29,22,Monday,1,12,False,PlayStation 5,South America,casual,27.0
188,17,,2025-12-29 22:49:18.196005,2025-12-29,22,Monday,1,12,False,PC,North America,regular,76.0
189,17,,2025-12-29 22:57:18.196005,2025-12-29,22,Monday,1,12,False,PC,North America,regular,95.0
190,371,4.0,2025-12-29 23:19:18.196005,2025-12-29,23,Monday,1,12,False,PlayStation 5,North America,regular,115.0
191,50,10.0,2025-12-29 23:38:18.196005,2025-12-29,23,Monday,1,12,False,PlayStation 5,Asia,regular,99.0
192,227,6.0,2025-12-29 23:52:18.196005,2025-12-29,23,Monday,1,12,False,Xbox Series X,Europe,regular,54.0
193,393,9.0,2025-12-30 01:11:18.196005,2025-12-30,1,Tuesday,1,12,False,PC,Europe,regular,106.0
194,152,,2025-12-30 01:18:18.196005,2025-12-30,1,Tuesday,1,12,False,PC,Europe,hardcore,218.0
195,208,10.0,2025-12-30 02:20:18.196005,2025-12-30,2,Tuesday,1,12,False,PlayStation 5,North America,casual,43.0
196,152,,2025-12-30 02:22:18.196005,2025-12-30,2,Tuesday,1,12,False,PC,Europe,hardcore,144.0
197,13,10.0,2025-12-30 02:25:18.196005,2025-12-30,2,Tuesday,1,12,False,PlayStation 5,Oceania,regular,114.0
198,421,4.0,2025-12-30 02:30:18.196005,2025-12-30,2,Tuesday,1,12,False,Xbox Series X,North America,casual,43.0
199,377,10.0,2025-12-30 02:32:18.196005,2025-12-30,2,Tuesday,1,12,False,PlayStation 5,North America,regular,69.0
200,178,,2025-12-30 03:25:18.196005,2025-12-30,3,Tuesday,1,12,False,Xbox Series X,Asia,casual,39.0
201,90,4.0,2025-12-30 03:27:18.196005,2025-12-30,3,Tuesday,1,12,False,PC,Europe,casual,24.0
202,107,,2025-12-30 11:39:18.196005,2025-12-30,11,Tuesday,1,12,False,PC,Europe,casual,23.0
203,170,1.0,2025-12-30 12:35:18.196005,2025-12-30,12,Tuesday,1,12,False,PC,Europe,hardcore,153.0
204,298,1.0,2025-12-30 12:50:18.196005,2025-12-30,12,Tuesday,1,12,False,PC,South America,casual,20.0
205,367,,2025-12-30 12:50:18.196005,2025-12-30,12,Tuesday,1,12,False,PlayStation 5,Asia,hardcore,295.0
206,152,,2025-12-30 13:19:18.196005,2025-12-30,13,Tuesday,1,12,False,PC,Europe,hardcore,255.0
207,275,,2025-12-30 13:33:18.196005,2025-12-30,13,Tuesday,1,12,False,PC,Oceania,casual,50.0
208,77,,2025-12-30 13:53:18.196005,2025-12-30,13,Tuesday,1,12,False,PC,Europe,casual,48.0
209,281,10.0,2025-12-30 14:05:18.196005,2025-12-30,14,Tuesday,1,12,False,Xbox Series X,Europe,casual,45.0
210,19,7.0,2025-12-30 15:06:18.196005,2025-12-30,15,Tuesday,1,12,False,PlayStation 5,Europe,regular,94.0
211,393,9.0,2025-12-30 15:26:18.196005,2025-12-30,15,Tuesday,1,12,False,PC,Europe,regular,119.0
212,227,6.0,2025-12-30 15:37:18.196005,2025-12-30,15,Tuesday,1,12,False,Xbox Series X,Europe,regular,94.0
213,107,,2025-12-30 15:44:18.196005,2025-12-30,15,Tuesday,1,12,False,PC,Europe,casual,56.0
214,50,10.0,2025-12-30 15:53:18.196005,2025-12-30,15,Tuesday,1,12,False,PlayStation 5,Asia,regular,102.0
215,152,,2025-12-30 16:08:18.196005,2025-12-30,16,Tuesday,1,12,False,PC,Europe,hardcore,151.0
216,281,10.0,2025-12-30 16:37:18.196005,2025-12-30,16,Tuesday,1,12,False,Xbox Series X,Europe,casual,55.0
217,288,4.0,2025-12-30 16:48:18.196005,2025-12-30,16,Tuesday,1,12,False,PlayStation 5,South America,casual,29.0
218,52,3.0,2025-12-30 16:50:18.196005,2025-12-30,16,Tuesday,1,12,False,Xbox Series X,Asia,casual,50.0
219,88,4.0,2025-12-30 16:59:18.196005,2025-12-30,16,Tuesday,1,12,False,PC,Oceania,regular,63.0
220,70,6.0,2025-12-30 17:18:18.196005,2025-12-30,17,Tuesday,1,12,False,Xbox Series X,North America,regular,55.0
221,17,,2025-12-30 17:23:18.196005,2025-12-30,17,Tuesday,1,12,False,PC,North America,regular,51.0
222,334,,2025-12-30 17:48:18.196005,2025-12-30,17,Tuesday,1,12,False,PlayStation 5,Asia,hardcore,122.0
223,24,10.0,2025-12-30 17:54:18.196005,2025-12-30,17,Tuesday,1,12,False,PlayStation 5,South America,casual,48.0
224,301,1.0,2025-12-30 17:55:18.196005,2025-12-30,17,Tuesday,1,12,False,PlayStation 5,North America,regular,91.0
225,195,4.0,2025-12-30 17:56:18.196005,2025-12-30,17,Tuesday,1,12,False,PlayStation 5,Oceania,hardcore,261.0
226,166,6.0,2025-12-30 18:10:18.196005,2025-12-30,18,Tuesday,1,12,False,PlayStation 5,North America,casual,53.0
227,288,4.0,2025-12-30 18:11:18.196005,2025-12-30,18,Tuesday,1,12,False,PlayStation 5,South America,casual,48.0
228,191,3.0,2025-12-30 18:41:18.196005,2025-12-30,18,Tuesday,1,12,False,PC,North America,hardcore,136.0
229,300,9.0,2025-12-30 18:56:18.196005,2025-12-30,18,Tuesday,1,12,False,PC,North America,regular,70.0
230,381,,2025-12-30 18:58:18.196005,2025-12-30,18,Tuesday,1,12,False,PC,Oceania,casual,58.0
231,286,8.0,2025-12-30 19:16:18.196005,2025-12-30,19,Tuesday,1,12,False,Xbox Series X,Europe,regular,87.0
